time	source	coord
2019-08-16	https://imgur.com/GPovHas	[[-175.8,-40.8],[-171.5,-41.8],[-171.9,42.9],[-176.3,-41.7],[-163.5,-43.5],[-152.0,-44.25],[-152.0,45.5],[-163.9,-44.7],[-175.8,-40.8]]
2019-07-30	http://www.satobs.org/seesat/Jul-2019/0209.html	[[155.0,-46.5],[176.0,-57.0],[172.56666666666666,-60.0],[151.0,-49.25],[155.0,-46.5]]
2019-07-10	http://www.satobs.org/seesat/Jul-2019/0059.html	[[44.4,-26.966666666666665],[62.36666666666667,-65.1],[58.9,-65.75],[42.46666666666667,-27.316666666666666],[44.4,-26.966666666666665]]
2019-07-01	http://www.satobs.org/seesat/Jul-2019/0131.html	[[-147.98333333333332,-27.266666666666666],[-142.46666666666667,-29.333333333333332],[-157.8,-44.86666666666667],[-164.21666666666667,-40.45],[-147.98333333333332,-27.266666666666666]]
2019-07-01	http://www.satobs.org/seesat/Jul-2019/0209.html	[[-163.81666666666666,-30.316666666666666],[-158.56666666666666,-34.56666666666667],[-92.41666666666667,-49.0],[-92.28333333333333,-52.06666666666667],[-163.81666666666666,-30.316666666666666]]
2019-07-01	http://www.satobs.org/seesat/Jul-2019/0209.html	[[-171.68333333333334,-37.4],[-172.33333333333334,-40.3],[-92.56666666666666,-45.0],[-91.41666666666667,-48.083333333333336],[-171.68333333333334,-37.4]]
2019-06-15	http://www.satobs.org/seesat/Jul-2019/0001.html	[[-123.3,-2.6],[-120.85,7.85],[-120.25,7.7],[-122.8,-2.75],[-123.3,-2.6]]
2019-06-01	http://www.satobs.org/seesat/Jun-2019/0003.html	[[-166.23333333333332,-29.45],[-161.11666666666667,-33.75],[-132.88333333333333,-47.31666666666667],[-118.56666666666666,-50.05],[-93.3,-49.11666666666667],[-92.28333333333333,-51.88333333333333],[-118.68333333333334,-52.28333333333333],[-133.21666666666667,-49.85],[-160.86666666666667,-36.53333333333333],[-167.31666666666666,-32.25],[-166.23333333333332,-29.45]]
2019-06-01	http://www.satobs.org/seesat/Jun-2019/0003.html	[[-166.23333333333332,-29.45],[-161.11666666666667,-33.75],[-132.88333333333333,-47.31666666666667],[-118.56666666666666,-50.05],[-93.3,-49.11666666666667],[-92.28333333333333,-51.88333333333333],[-118.68333333333334,-52.28333333333333],[-133.21666666666667,-49.85],[-160.86666666666667,-36.53333333333333],[-167.31666666666666,-32.25],[-166.23333333333332,-29.45]]
2019-06-01	http://www.satobs.org/seesat/Jun-2019/0003.html	[[-171.66666666666666,-38.3],[-164.93333333333334,-42.0],[-130.06666666666666,-50.56666666666667],[-114.4,-50.416666666666664],[-92.68333333333334,-45.6],[-90.7,-47.333333333333336],[-115.41666666666667,-52.25],[-130.5,-52.68333333333333],[-164.65,-44.733333333333334],[-172.4,-41.11666666666667],[-171.66666666666666,-38.3]]
