lat	lon	norad_cat_num	satellite_name	ownership	launch_date	satellite_decay	rcs
53.42800731064418	2.1716296183015817	8	SPUTNIK 3	CIS  	1958-05-15	1960-04-06	11.8400
-0.9171772250997644	-37.456456880026444	8	SPUTNIK 3	CIS  	1958-05-15	1960-04-06	11.8400
65.02829814415628	54.99676515921271	8	SPUTNIK 3	CIS  	1958-05-15	1960-04-06	11.8400
-64.65857317419433	-116.91498447612788	8	SPUTNIK 3	CIS  	1958-05-15	1960-04-06	11.8400
-22.316647612945133	-48.674444950220014	8	SPUTNIK 3	CIS  	1958-05-15	1960-04-06	11.8400
15.046534496228324	-21.070187608289288	17	THOR ABLE R/B           	US   	1959-08-07	1961-06-30	0.0200
61.26470681712835	-152.2709532807003	366	SL-3 R/B	CIS  	1962-08-12	1962-08-14	0.0500
-21.038227445615508	-18.994061110057412	366	SL-3 R/B	CIS  	1962-08-12	1962-08-14	0.0500
64.94482640230956	-150.78467679654884	623	THOR AGENA D DEB        	US   	1963-07-19	1963-07-29	0.3200
-26.655849717181308	-131.45943518156315	623	THOR AGENA D DEB        	US   	1963-07-19	1963-07-29	0.3200
-54.843888450114896	34.61258126059199	623	THOR AGENA D DEB        	US   	1963-07-19	1963-07-29	0.3200
20.837802374610654	47.59332504234996	623	THOR AGENA D DEB        	US   	1963-07-19	1963-07-29	0.3200
66.75348098509645	61.83232968810226	623	THOR AGENA D DEB        	US   	1963-07-19	1963-07-29	0.3200
22.81764198856557	-27.30147676357135	786	OPS 3743	US   	1964-04-23	1964-04-29	903.0000
60.171739946142914	-176.4130492040541	786	OPS 3743	US   	1964-04-23	1964-04-29	903.0000
3.442375641211876	159.60165871309158	786	OPS 3743	US   	1964-04-23	1964-04-29	903.0000
14.048617391506427	161.78977811559687	786	OPS 3743	US   	1964-04-23	1964-04-29	903.0000
16.880996948794103	162.7080014268567	786	OPS 3743	US   	1964-04-23	1964-04-29	903.0000
44.86048097806323	-118.72110505873269	1383	SL-3 R/B	CIS  	1965-05-25	1965-06-04	8.5800
-11.03120715582946	103.47152611395282	1383	SL-3 R/B	CIS  	1965-05-25	1965-06-04	8.5800
13.100587134708658	-78.3029005696703	1383	SL-3 R/B	CIS  	1965-05-25	1965-06-04	8.5800
-31.864259987646015	-43.19047240523843	2301	SATURN 1B DEB	US   	1966-07-05	1966-07-11	0.1100
31.990601411818325	-39.70404332454044	1493	SL-8 DEB	CIS  	1965-03-15	1966-11-04	1.4900
12.384326540790576	106.78236469146812	1493	SL-8 DEB	CIS  	1965-03-15	1966-11-04	1.4900
-30.73437252910207	-89.27373482965237	1493	SL-8 DEB	CIS  	1965-03-15	1966-11-04	1.4900
-33.32266588488923	-91.85974007206758	1493	SL-8 DEB	CIS  	1965-03-15	1966-11-04	1.4900
55.51528921533798	12.274888981040402	1493	SL-8 DEB	CIS  	1965-03-15	1966-11-04	1.4900
-23.40828942723159	40.54843229087244	2524	OPS 0855 (OV4-3 MOL)	US   	1966-11-03	1967-01-09	0.3900
-31.972791693557518	102.76892504460112	2524	OPS 0855 (OV4-3 MOL)	US   	1966-11-03	1967-01-09	0.3900
-21.924487179106976	139.49410089095096	2524	OPS 0855 (OV4-3 MOL)	US   	1966-11-03	1967-01-09	0.3900
21.283603699095508	-144.99516256923593	2524	OPS 0855 (OV4-3 MOL)	US   	1966-11-03	1967-01-09	0.3900
31.35142206400478	-111.31005611113454	2524	OPS 0855 (OV4-3 MOL)	US   	1966-11-03	1967-01-09	0.3900
-42.15346527412291	-59.548601297595134	2746	SL-12 DEB	CIS  	1967-04-08	1967-04-19	0.7700
-40.083296408394574	32.32535581322982	2746	SL-12 DEB	CIS  	1967-04-08	1967-04-19	0.7700
